"s","l","n"
"http://dbpedia.org/resource/Arcandor","http://dbpedia.org/resource/Germany",68000
"http://dbpedia.org/resource/Health_Service_Executive","http://dbpedia.org/resource/Republic_of_Ireland",67145
"http://dbpedia.org/resource/Navoi_Mining_and_Metallurgy_Combinat","http://dbpedia.org/resource/Uzbekistan",67000
"http://dbpedia.org/resource/Autoliv","http://dbpedia.org/resource/Sweden",67000
"http://dbpedia.org/resource/Swissport","http://dbpedia.org/resource/Switzerland",66000
"http://dbpedia.org/resource/Grupo_Elektra","http://dbpedia.org/resource/United_States",65346
"http://dbpedia.org/resource/Grupo_Elektra","http://dbpedia.org/resource/Mexico",65346
"http://dbpedia.org/resource/Lloyds_Banking_Group","http://dbpedia.org/resource/United_Kingdom",65000
"http://dbpedia.org/resource/Sears_plc","http://dbpedia.org/resource/United_Kingdom",65000
"http://dbpedia.org/resource/Seara_Foods","http://dbpedia.org/resource/Brazil",65000
"http://dbpedia.org/resource/Lloyds_Banking_Group","http://dbpedia.org/resource/Scotland",65000
"http://dbpedia.org/resource/Lloyds_Banking_Group","http://dbpedia.org/resource/England",65000
"http://dbpedia.org/resource/Weichai_Group","http://dbpedia.org/resource/People's_Republic_of_China",64817
"http://dbpedia.org/resource/Toyota_Industries","http://dbpedia.org/resource/Kariya,_Aichi",64641
"http://dbpedia.org/resource/Rusal","http://dbpedia.org/resource/Russia",64000
"http://dbpedia.org/resource/Kompania_Węglowa","http://dbpedia.org/resource/Poland",63800
"http://dbpedia.org/resource/B._Braun","http://dbpedia.org/resource/Germany",63751
"http://dbpedia.org/resource/CNH_Industrial","http://dbpedia.org/resource/Italy",63499
"http://dbpedia.org/resource/CNH_Industrial","http://dbpedia.org/resource/Netherlands",63499
"http://dbpedia.org/resource/Americana_Group","http://dbpedia.org/resource/United_Arab_Emirates",63000
"http://dbpedia.org/resource/BellSouth","http://dbpedia.org/resource/United_States",63000
"http://dbpedia.org/resource/Manulife","http://dbpedia.org/resource/Canada",63000
"http://dbpedia.org/resource/Lafarge_(company)","http://dbpedia.org/resource/France",63000
"http://dbpedia.org/resource/Swiss_Post","http://dbpedia.org/resource/Switzerland",62341
"http://dbpedia.org/resource/AstraZeneca","http://dbpedia.org/resource/United_Kingdom",61100
"http://dbpedia.org/resource/AstraZeneca","http://dbpedia.org/resource/Sweden",61100
"http://dbpedia.org/resource/Mover_Participações","http://dbpedia.org/resource/Brazil",61000
"http://dbpedia.org/resource/Stanley_Black_&_Decker","http://dbpedia.org/resource/United_States",60767
"http://dbpedia.org/resource/Novolipetsk_Steel","http://dbpedia.org/resource/Russia",60200
"http://dbpedia.org/resource/Illich_Steel_and_Iron_Works","http://dbpedia.org/resource/Ukraine",60000
